Week,Main Topic,Lecture,Concepts,Practical / Lab,Homework,Project Milestone,Difficulty,Notes
1,"Introduction & Linear Regression","L01_linear_regression","What is ML; supervised vs unsupervised vs RL; tasks (regression vs classification); features and labels; i.i.d. assumption; hypothesis space; parameterization; linear regression with L2 loss; OLS closed form","Load House_Rent_Dataset.csv (Yerevan analog: Բնակարան վարձով prices); fit sklearn LinearRegression; plot data + fitted line; manually compute MSE; inspect coefficients","HW01: Implement gradient descent for theta_1*x from scratch (no sklearn); visualize iteration count vs risk; bonus: derive normal equation for theta_0 + theta_1*x","Form teams of 1-3; pick a regression dataset (Student Performance OR Bike Sharing from projects.md); set up GitHub repo with README + EDA notebook","🧀","First class — spend 15 min on prereqs (3blue1brown Linear Algebra & Calculus). Drop calculus heavy notation in lecture; introduce slowly. Reference Yerevan apartment market as the running example. Set Slack and homework submission expectations."
2,"Regression Losses; Gradient Descent","L02_regression_losses","Loss function vs theoretical risk vs empirical risk; ERM as optimization; gradient descent; learning rate sensitivity; convergence; L1 vs L2 (robustness); polynomial regression as basis functions","Visualize the empirical risk surface for a 2-param model; implement GD with 3 different learning rates; fit polynomial regression of degree 1, 3, 9 on noisy sine data; observe overfitting","HW: Add intercept to GD implementation; derive normal equation analytically; compare GD output to closed-form OLS. Bonus: implement L1 regression via subgradient and compare with L2 on outlier-heavy data","First EDA + baseline linear regression on chosen project; submit notebook with: data audit, missing values, target distribution, train-test split, baseline MSE","🧀🧀","This is where students hit the math wall. Have spare time for office hours after. Show GD animation (3b1b style) — predict-first frame on what alpha-too-large does. Mention SGD / Adam at high level only (defer to W23)."
3,"Regularization (Ridge & Lasso)","L03_regularization","Overfitting recap; regularized ERM pattern (R_emp + lambda * J(theta)); bias-variance tradeoff; Ridge (L2); Lasso (L1); soft thresholding; geometric intuition (ball vs diamond); Elastic Net","Compare Ridge vs Lasso vs OLS on a high-p / low-n setup (e.g., polynomial features of degree 15 on small data); plot coefficient paths as lambda increases; observe lasso sparsity emerging","HW: Implement Ridge regression from scratch via the normal equation + lambda*I trick; reproduce sklearn Ridge coefficients to within 1e-6. Bonus: implement coordinate descent for Lasso","Add Ridge and Lasso variants to project model comparison; report which features Lasso zeros out","🧀🧀","sklearn uses 'alpha' for what we call lambda — flag this. Soft thresholding is hard to convey — use the figure. Skip irrepresentable condition. Armenian terms: ճշգրտում / regularization, շեղում / bias, ցրվածություն / variance."
4,"Regression Evaluation Metrics","L04_evaluation_regression","Training error (apparent error) and why it's optimistic; hold-out split; generalization error; U-shape of test error; overfitting vs underfitting; MSE / MAE / RMSE / MAPE / R^2; Spearman's rho for rank-based","Build a full evaluation pipeline: train/test split, fit 5 different models, compute all 5 metrics, present as a table; deliberately demo a leaky pipeline (e.g., scale features before split) and show how it inflates scores","HW: Implement train_test_split and all 5 metrics (MSE, MAE, RMSE, MAPE, R^2) from scratch; reproduce sklearn results. Bonus: implement Spearman's rho","Add proper hold-out evaluation to project; report multiple metrics; commit a clear notebook","🧀","Data leakage examples save lives later — demo a leaky pipeline explicitly. Discuss why R^2 can be negative on test data. Cite real-world stories of leakage (Kaggle scandals). Difficulty drops here — it's intuitive."
5,"Cross-Validation & Hyperparameter Tuning","L05_cv_and_tuning","Why resample; k-fold CV; stratified CV; bootstrap and OOB; leave-one-object-out (group CV); hyperparameters vs parameters; bilevel optimization; grid search vs random search; mention Bayesian opt and Hyperband","Use sklearn KFold and StratifiedKFold; run GridSearchCV and RandomizedSearchCV for a Ridge model; reproduce Bergstra-Bengio result that random > grid in low-effective-dim spaces","HW: Implement k-fold CV from scratch; verify against sklearn cross_val_score. Bonus: implement repeated CV and report std","Tune project model hyperparameters via CV; report best lambda / depth / k","🧀🧀","Stress: random search > grid for >2 hyperparams. Compute budget warning — don't blow up laptop with too-large search spaces (Intel Iris Xe is not CUDA). Show CV diagram first; let students predict before showing the algorithm."
6,"Nested Resampling","L05b_nested_resampling","Overtuning bias; untouched test set principle; train/validation/test 3-way split; tuning as part of training; nested resampling (outer + inner CV); cost analysis; common leakage mistakes","Implement nested CV by hand using sklearn; compare biased CV score (tuned and reported on same data) to honest nested CV score on a small dataset; show the gap","HW: Apply nested CV to project model; report both biased and honest scores; reflect on the difference","Interim project presentation (5 min / team): data, EDA, baseline, tuned model, honest test score","🧀🧀🧀","Optional advanced topic — if course is fast-paced, can be folded into W5. Common mistakes frame is the most useful slide. Watch for overtuning bias in their projects."
7,"Regression Inference (Deferred); Catchup","deferred_regression_inference","Statistical inference for OLS; standard errors; t-tests on coefficients; confidence intervals; F-test; assumptions and diagnostics; when inference is even possible (vs pure prediction)","Statsmodels OLS summary on a small dataset; interpret p-values; bootstrap a confidence interval for a coefficient; compare to statsmodels CI","HW: Pick any 3 features of project and bootstrap CIs for their coefficients; discuss whether you would report inference here or just prediction","Final regression project submission: GitHub repo, README, notebook, honest test score, 1-page writeup","🧀🧀","Bridge to statistics colleagues. Stats students will love this; ML-purists will get bored. Frame as 'when stakeholders ask why the model said X'. Use this as a buffer week if regression block ran over."
8,"Classification & Logistic Regression","L06_classification_logreg","Classification tasks; binary vs multiclass; decision boundaries; scoring vs probabilistic classifiers; log-odds; sigmoid function; Bernoulli (log) loss; logistic regression as ERM; intercept and feature interpretation","Logistic regression on Titanic OR German Credit; visualize decision boundary on 2D synthetic data; plot sigmoid; tweak threshold and see prediction changes","HW: Derive sigmoid from log-odds; implement logistic regression with GD from scratch; reproduce sklearn LogisticRegression coefficients. Bonus: implement Newton-Raphson","Pivot to classification: pick a classification project (German Credit OR Heart Failure); do EDA + baseline logistic regression","🧀🧀","Pivot week — classification is conceptually different but mechanically similar. Sigmoid intuition with predict-first frame (what happens at theta^T x = 0?). Tie to L02 ERM template — same recipe, different loss."
9,"Classification Metrics","L07_classification_metrics","Confusion matrix; accuracy, precision, recall, F1; ROC curve and AUC; PR curve; Mann-Whitney U interpretation of AUC; threshold tuning; class imbalance pitfalls","Evaluate logistic regression with full metric suite on imbalanced data (e.g., credit fraud-like); plot ROC and PR curves; pick a threshold that maximizes F1; show accuracy lying on imbalanced data","HW: Implement confusion matrix and derived metrics (precision, recall, F1) from scratch; implement ROC curve and AUC computation. Bonus: implement PR curve","Apply full classification evaluation to project; report ROC AUC + F1 + confusion matrix at chosen threshold","🧀🧀","Imbalanced data: bring a real example where accuracy=99% but model is useless (predicts majority class). Threshold tuning is industry-critical — students must internalize it. Yerevan example: predict credit default for AmeriaBank-like data."
10,"Multiclass; k-NN; Naive Bayes","L08_multiclass","One-vs-Rest and One-vs-One reduction; codebooks (ECOC); softmax regression and cross-entropy; k-Nearest Neighbors as a non-parametric baseline; Naive Bayes (Gaussian, Multinomial); LDA/QDA at a glance","Multiclass logistic regression on iris (3 classes); k-NN on the same; Naive Bayes on a text classification toy (spam vs ham); compare decision boundaries","HW: Implement OvR using binary logistic regression; implement k-NN from scratch (loop, then vectorized); compare to sklearn KNeighborsClassifier","Project checkpoint: compare baseline LogReg vs k-NN vs Naive Bayes on classification project; pick winner with justification","🧀🧀","Catch-all classical methods week. k-NN is the simplest learner — students always underestimate it. Use it as the baseline that surprisingly competes with everything. Skip LDA/QDA derivation; show as 'just another classifier'."
11,"Generalized Linear Models (Deferred)","deferred_glms","Exponential family; link functions; GLM unification (linear, logistic, Poisson, gamma regression); deviance and goodness of fit; when to use each link; offset terms","Poisson regression on a counts dataset (e.g., crashes per intersection); compare to linear regression; gamma regression for positive continuous data","HW: Pick a count dataset; fit Poisson regression in statsmodels; interpret the rate ratio; discuss when Poisson assumption fails (overdispersion)","Continue classification project; experiment with regularization on logistic regression","🧀🧀🧀","Statistics deep cut. Heavy material — use a real medical / count example to motivate. Useful when students go into epidemiology, actuarial, or marketing analytics. Skip if course leans pure-ML."
12,"Midterm Project Showcase; Recap","Recap (L01-L08)","Recap of all regression and classification material; common patterns; ERM template recap; bias-variance recap; resampling recap; metric selection","Midterm exam OR project presentation (10 min / team) covering: regression and classification projects, honest scores, what worked, what failed","Take-home midterm: 5 short problems covering L01-L08 OR write a 2-page reflection on your project decisions","Midterm project presentations: each team presents 10 min + 5 min Q&A","🧀🧀","Half-way point — sanity check on student comprehension before going into trees. Some teams will be way behind on project — assign mentors / pair-up for support. Optional: in-class Kaggle-style mini-contest for fun."
13,"Decision Trees","L09_decision_trees","Recursive partitioning; binary splits on numeric and categorical features; Gini, entropy, misclassification rates; SSE-based splits for regression; stopping rules; cost-complexity pruning; pre-pruning vs post-pruning; tree predictions and interpretability","sklearn DecisionTreeClassifier and DecisionTreeRegressor on iris + a regression dataset; visualize trees with sklearn.tree.plot_tree; compute Gini by hand for a small split","HW: Compute Gini index for 3 candidate splits on a tiny dataset by hand; implement a single greedy split selection in Python","Try decision tree on project (both classification and regression flavors); compare to linear models; report depth-vs-test-error U curve","🧀🧀","Tree visualizations are powerful — use them liberally. Show CART discussion (handles missing values, doesn't need scaling). Trees also reset the energy — students love that they finally make 'human' decisions."
14,"Random Forests","L10_random_forests","Ensembling intuition; bagging (bootstrap aggregating); reduction of variance via averaging; out-of-bag (OOB) evaluation; mtry / max_features; feature importance (MDI and permutation); proximity matrix","RandomForestClassifier and RandomForestRegressor; plot feature importance; use OOB score instead of CV; vary n_estimators and max_depth and observe","HW: Implement bagging by hand (n bootstrap samples, fit n decision trees, average predictions); compare to sklearn RF on the same data","Add Random Forest to project comparison; report feature importance ranking","🧀🧀","Beauty of OOB: free validation set. Show that averaging reduces variance — quick Monte Carlo simulation in Jupyter helps. Random forest is the 'just works' baseline they'll use forever — sell it."
15,"Boosting (AdaBoost & Gradient Boosting)","L11_boosting","AdaBoost: weighted weak learners; gradient boosting concept; fitting trees to pseudo-residuals; learning rate / shrinkage; tree depth as regularization; GBM regularization (subsampling, max_depth, n_estimators tradeoff)","sklearn GradientBoostingClassifier; visualize residuals after each boosting round; play with learning_rate and n_estimators; observe overfitting","HW: Implement gradient boosting from scratch using shallow trees as weak learners (sklearn for the tree fits is OK); compare to sklearn GBM. Bonus: implement AdaBoost","Add GBM to project comparison; show learning curves (train vs validation MSE vs n_estimators)","🧀🧀🧀","Boosting is where 'Kaggle-grade' methods emerge. Conceptually trickier than bagging — gradient boosting concept is hard. Spend extra time on 'fit to residuals' intuition; use the figure. Pre-empt next week's XGBoost expectations."
16,"XGBoost, LightGBM, CatBoost","L12_xgboost_lgbm","XGBoost: regularized GBM with system optimizations (sparsity-aware splits, histogram binning); LightGBM (GOSS, EFB, leaf-wise growth); CatBoost (ordered boosting, native categorical handling); practical tradeoffs (speed, memory, categorical handling)","XGBoost on project dataset; compare to RF and vanilla GBM on training time, accuracy, calibration; brief CatBoost demo with categorical features","HW: Tune XGBoost on project dataset using random search + early_stopping_rounds; submit best result + analysis","Continue classification project: add XGBoost and CatBoost; pick top model","🧀🧀","Most students will use these in industry. Emphasize: defaults are surprisingly good. Don't go deep into XGBoost math — refer to the deep-dive .tex if curious. CatBoost wins on Kaggle when there are lots of categoricals."
17,"Ensemble Project Showcase; Mini-Kaggle","Project Showcase","Practical workflow: stacking, blending, pipelines; final-model selection across all classical methods; calibration; what to report in a model card","In-class mini-Kaggle: students submit predictions on a held-out leaderboard test set for the classification project; live scoring; top-3 winners get bragging rights","HW: Write a 2-page model card for project (intended use, data, metrics, fairness considerations, known limitations)","Final classical-ML project submission: GitHub repo, README, notebook, model card, honest test score","🧀🧀","Showcase week is huge for motivation. Invite an industry guest (Armenian data scientist) to judge. Celebrate creativity, not just leaderboard rank. End with: 'you now have 80% of what most data scientists use in industry'."
18,"Clustering: k-means and DBSCAN","L13_clustering","Unsupervised learning recap; k-means algorithm (Lloyd's); convergence and local minima; choosing k (elbow, silhouette); DBSCAN (eps, minPts); density-based vs centroid-based; hierarchical clustering (dendrograms)","K-means on Country Data; tune k via elbow plot and silhouette; DBSCAN on a non-convex cluster shape (moons / spirals); hierarchical clustering on iris with dendrogram","HW: Implement k-means from scratch (init, assign, update, repeat); compare to sklearn; bonus: implement k-means++","Start clustering mini-project: pick Country Data from Kaggle; segment countries by socio-economic indicators","🧀🧀","Unsupervised feels different — no labels, no 'right answer'. Show that clustering is exploratory. Discuss how k-means assumes spherical clusters and why DBSCAN handles arbitrary shapes. Image-compression demo from existing notebook is a wow moment."
19,"PCA & Dimensionality Reduction","L13b_pca_dim_reduction","Why dim reduction; PCA via variance maximization; eigendecomposition of covariance matrix; explained variance ratio; scaling matters; t-SNE (perplexity); UMAP","PCA on MNIST or Olivetti faces; visualize 2D projection of 64D digits; t-SNE on the same; UMAP comparison; show how t-SNE distances lie","HW: Implement PCA from scratch via numpy.linalg.eig or SVD; verify against sklearn PCA. Bonus: project images to k principal components and reconstruct","Clustering mini-project continued: use PCA to visualize country clusters in 2D; sanity-check k-means result","🧀🧀","Eigenvalues / eigenvectors are math prereq — review briefly. Show that t-SNE is great for visualization but bad for clusters (lies about distances). Mention autoencoders as nonlinear PCA (preview L14)."
20,"Causal Inference (Deferred); Clustering Showcase","deferred_causal_inference","Correlation vs causation; counterfactuals; potential outcomes framework; randomized controlled trials (RCTs); confounders; difference-in-differences; instrumental variables; mention causal ML (DoWhy, EconML)","Synthetic causal example: simulate confounded data; show OLS gives biased estimate; show that a proper IV unbiases it; discuss A/B testing setup","HW: Read Athey & Imbens 'The State of Applied Econometrics' summary OR write a 1-page memo: 'a question I want to answer with my data, and whether causal inference applies'","Clustering mini-project submission: 1-page writeup + notebook with visualizations","🧀🧀🧀","Heavy material but extremely valuable. Many ML grads cannot tell correlation from causation in interviews. Set up with a real-world story (smoking and cancer, Simpson's paradox example). Skip if course is pure-ML focused."
21,"Neural Networks: From MLPs to Deep","L14_neural_networks","Why neural networks; single neuron (linear + activation); single hidden layer; multilayer feedforward networks; matrix notation; MLPs as predictors; XOR problem; universal approximation theorem","PyTorch (or TensorFlow): build a 2-layer MLP from scratch; train on MNIST; compare to logistic regression baseline; visualize weights","HW: Implement a single-hidden-layer MLP in pure numpy (forward pass only); verify against PyTorch","Pivot to NN project: pick MNIST OR Fashion-MNIST; build baseline MLP","🧀🧀🧀","DL block begins — biggest energy boost of the course. Install PyTorch ahead of time (use CPU-only on Intel Iris Xe; Colab T4 for anything serious). Use Yann LeCun's MNIST as the 'hello world' — students recognize this."
22,"Backpropagation, Dropout, HPO for NNs","L15_backprop_dropout_hpo","Softmax and cross-entropy for multiclass NN; backprop derivation as chain rule on a computational graph; vanishing / exploding gradients; dropout as regularization; early stopping; HP space for NNs","Build backprop by hand for a 2-layer NN; train MNIST with and without dropout; sweep over dropout_rate; observe","HW: Implement backprop by hand for a 1-hidden-layer network; verify gradient against torch.autograd to within 1e-5","Improve NN project: add dropout, early stopping, learning rate scheduling","🧀🧀🧀","Backprop derivation is the hardest moment of the course. Slow down. Use Karpathy's micrograd as a visual aid. Have students explain the chain rule out loud. Dropout intuition: 'random ensemble of subnetworks'."
23,"Optimization, Initialization, Activations, BatchNorm","L18_optimizers_init","Modern optimizers (SGD+momentum, RMSprop, Adam, AdamW); learning rate schedules; weight initialization (Xavier, He); activation functions (ReLU and variants); batch normalization; layer norm","Train MNIST with Adam vs SGD; visualize loss curves; try different inits and see when training fails; add BatchNorm and observe convergence speedup","HW: Implement Adam from scratch in pure numpy; verify on a quadratic optimization toy; compare convergence to vanilla SGD","Continue NN project: try different optimizers + inits; pick best combo","🧀🧀","Practical week — these are the tweaks that make training actually work. Mention 'lr finder' technique (fast.ai). LayerNorm sets up transformers (W26+). BatchNorm is contentious — mention the recent 'BatchNorm helps for non-trivial reasons' debate."
24,"Convolutional Neural Networks (CNNs)","L16_cnns","Convolution operation; channels, filters, strides, padding; pooling; classic architectures (LeNet, AlexNet, VGG); ResNet and skip connections; transfer learning; mention dilated, transposed, separable convolutions","Build a CNN for MNIST or CIFAR-10; visualize learned filters in layer 1; transfer learning with a pretrained ResNet18 on a small custom image dataset","HW: Train a CNN from scratch on CIFAR-10 (or Fashion-MNIST); reach 70%+ test accuracy; tune learning rate + augmentations","Pivot NN project to image classification: MNIST -> CIFAR-10 (or use a self-collected Yerevan landmarks dataset)","🧀🧀🧀","Compute warning: CIFAR-10 on Intel Iris Xe is painful. Use Google Colab T4 GPU (free) for this and W25. Convolution intuition: 'sliding template matcher'. Use 3b1b CNN video as homework prep."
25,"Recurrent Neural Networks (RNNs, LSTM, GRU)","L17_rnns_lstm","Sequential data; vanilla RNN; backprop through time (BPTT); vanishing gradient problem; LSTM (input/forget/output gates); GRU; attention as soft lookup; applications (language, time series, speech)","Build a vanilla RNN for character-level text generation (Karpathy style); train on Shakespeare; try LSTM and observe stability; visualize attention weights on a tiny seq2seq","HW: Train an LSTM to predict the next character in Armenian text (use Armenian Wikipedia dump or news scrape); generate 100 chars; reflect on quality","Pivot NN project to sequence task: time series forecasting OR text classification; build baseline LSTM","🧀🧀🧀","RNNs feel obsolete now (transformers won) but the intuition is foundational. Karpathy's 'Unreasonable Effectiveness of RNNs' is required reading. Armenian char-RNN is a fun cultural moment for the class."
26,"Pre-Transformer NLP & The Transformer Architecture","misc/dl4nlp/01_pre_transformer + 02_transformers","Bag of words, TF-IDF; word2vec / GloVe embeddings; seq2seq with attention; transformer architecture: self-attention, multi-head attention, positional encoding; encoder-decoder","Use HuggingFace transformers library: load a pretrained BERT; fine-tune on a small classification task; visualize attention weights","HW: Read 'Attention Is All You Need' paper sections 1-3 + Jay Alammar's 'Illustrated Transformer' blog; write a 1-page summary","Pivot to NLP/GenAI capstone: pick a task (text classification, summarization, QA, retrieval); set up project repo","🧀🧀🧀","Pivot to GenAI block. Use the instructor's already-written misc/dl4nlp/02_transformers.tex deck (it has dove theme + same Beamer style). Self-attention is the most important architecture in modern AI."
27,"Tokenization & Decoding Strategies","misc/dl4nlp/03_tokenization + 04_decoding_strategies","Tokenization (BPE, WordPiece, SentencePiece); subword vs character vs word; vocabulary tradeoffs; greedy vs beam search vs sampling; temperature, top-k, top-p (nucleus); repetition penalty","Compare tokenizers (GPT-2 vs BERT vs LLaMA) on Armenian text; observe vocabulary inefficiency; generate text with different decoding strategies; observe temperature effect","HW: Tokenize the same Armenian paragraph with 3 different tokenizers; report token count per word; discuss why English tokenizes more efficiently","Capstone: define data pipeline (input format, tokenization, batching)","🧀🧀","Tokenization is unsexy but critical — flag the 'Armenian / Georgian / Korean tokenizes badly' issue (relevant for our students!). Decoding strategies: predict-first frame on temperature=0 vs 1 vs 100."
28,"Pretraining, Fine-tuning, Prompting","misc/dl4nlp/07_pretraining_finetuning + 08_prompting","Self-supervised pretraining (next token, masked LM); fine-tuning vs prompting tradeoff; few-shot in-context learning; chain-of-thought; instruction tuning; LoRA / PEFT","Fine-tune a small LLM (DistilBERT or LLaMA-7B with LoRA) on a custom dataset; prompt engineering exercise with GPT-4 or open model; compare zero-shot vs few-shot vs fine-tuned","HW: Pick a downstream task; compare 3 approaches: zero-shot prompting, few-shot prompting, LoRA fine-tuning; report accuracy and cost","Capstone: build baseline solution using prompting; iterate","🧀🧀🧀","Practical pragmatism week. For most real problems in 2026, the answer is 'just prompt a good model'. But: when fine-tuning beats prompting and when it doesn't is a key skill. LoRA on Colab is doable for small models."
29,"RAG, Hallucinations, Safety","misc/dl4nlp/09_hallucinations + 12_rag","Why LLMs hallucinate; retrieval-augmented generation (RAG): embeddings, vector DBs (FAISS, Chroma), chunking strategies; reranking; evaluation of RAG; safety, alignment, RLHF briefly","Build a RAG pipeline: load Armenian Wikipedia, chunk, embed with sentence-transformers, store in FAISS, query with a small LLM; measure factual accuracy","HW: Build a RAG QA system over a small document corpus of your choice (project notebooks, scraped news, etc.); evaluate on 5-10 hand-written Q&A pairs","Capstone integration: add RAG to capstone project if relevant; otherwise use this week for capstone development","🧀🧀🧀","RAG is the dominant deployment pattern for LLM apps in 2026. Hallucinations slide is required for any AI safety conversation. Mention LangChain / LlamaIndex as the de-facto frameworks; warn about over-engineering."
30,"Capstone Showcase & Course Wrap-Up","Final","Course recap; ML map: where do regression, trees, NNs, transformers fit; career advice; what to learn next (RL, GNNs, multimodal); interview prep checklist","Final capstone presentations (15 min / team + 10 min Q&A); industry guest panel (Armenian data scientists, ML engineers)","Final capstone deliverable: GitHub repo, README, deployable demo (HuggingFace Space or Streamlit), 3-page writeup","Final capstone showcase + course wrap","🧀","Celebrate. Invite industry guests. Take a class photo. Send students off with: 'you now understand more of modern AI than 95% of people who claim to'. Share the Metric Academy YouTube channel + GitHub for ongoing reference. Hand out farewell.md content."
